species_malay,month,month_name_ms,landings_tonnes
Gerut-Gerut Besar,9,September,350
Gerut-Gerut Besar,10,Oktober,271
Gerut-Gerut Besar,11,November,226
Gerut-Gerut Besar,12,Disember,244
Gerut-Gerut Kecil,1,Januari,60
Gerut-Gerut Kecil,2,Februari,62
Gerut-Gerut Kecil,3,Mac,69
Gerut-Gerut Kecil,4,April,66
Gerut-Gerut Kecil,5,Mei,70
Gerut-Gerut Kecil,6,Jun,74
Gerut-Gerut Kecil,7,Julai,70
Gerut-Gerut Kecil,8,Ogos,67
Gerut-Gerut Kecil,9,September,72
Gerut-Gerut Kecil,10,Oktober,61
Gerut-Gerut Kecil,11,November,63
Gerut-Gerut Kecil,12,Disember,65
Gerut-Gerut Sederhana,1,Januari,63
Gerut-Gerut Sederhana,2,Februari,61
Gerut-Gerut Sederhana,3,Mac,67
Gerut-Gerut Sederhana,4,April,54
Gerut-Gerut Sederhana,5,Mei,83
Gerut-Gerut Sederhana,6,Jun,55
Gerut-Gerut Sederhana,7,Julai,82
Gerut-Gerut Sederhana,8,Ogos,85
Gerut-Gerut Sederhana,9,September,72
Gerut-Gerut Sederhana,10,Oktober,88
Gerut-Gerut Sederhana,11,November,96
Gerut-Gerut Sederhana,12,Disember,90
Ikan Baja,1,Januari,15587
Ikan Baja,2,Februari,17245
Ikan Baja,3,Mac,21417
Ikan Baja,4,April,22153
Ikan Baja,5,Mei,23914
Ikan Baja,6,Jun,22988
Ikan Baja,7,Julai,23925
Ikan Baja,8,Ogos,24280
Ikan Baja,9,September,24710
Ikan Baja,10,Oktober,23591
Ikan Baja,11,November,23393
Ikan Baja,12,Disember,19259
Ikan Barat-Barat,1,Januari,50
Ikan Barat-Barat,2,Februari,58
Ikan Barat-Barat,3,Mac,59
Ikan Barat-Barat,4,April,73
Ikan Barat-Barat,5,Mei,56
Ikan Barat-Barat,6,Jun,58
Ikan Barat-Barat,7,Julai,66
Ikan Barat-Barat,8,Ogos,73
Ikan Barat-Barat,9,September,87
Ikan Barat-Barat,10,Oktober,96
Ikan Barat-Barat,11,November,109
Ikan Barat-Barat,12,Disember,73
Ikan Belitong,1,Januari,2
Ikan Belitong,2,Februari,14
Ikan Belitong,3,Mac,40.3
Ikan Belitong,4,April,11
Ikan Belitong,5,Mei,17.2
Ikan Belitong,6,Jun,8
Ikan Belitong,7,Julai,4
Ikan Belitong,8,Ogos,7
Ikan Belitong,9,September,23
Ikan Belitong,10,Oktober,12
Ikan Belitong,11,November,20
Ikan Belitong,12,Disember,11
Ikan Buntal,1,Januari,28
Ikan Buntal,2,Februari,26
Ikan Buntal,3,Mac,33
Ikan Buntal,4,April,40
Ikan Buntal,5,Mei,47
Ikan Buntal,6,Jun,29.9
Ikan Buntal,7,Julai,28
Ikan Buntal,8,Ogos,39.5
Ikan Buntal,9,September,21.5
Ikan Buntal,10,Oktober,21.8
Ikan Buntal,11,November,22
Ikan Buntal,12,Disember,19
Ikan Buntal Kuning,1,Januari,21
Ikan Buntal Kuning,2,Februari,68
Ikan Buntal Kuning,3,Mac,56
Ikan Buntal Kuning,4,April,76
Ikan Buntal Kuning,5,Mei,106
Ikan Buntal Kuning,6,Jun,94
Ikan Buntal Kuning,7,Julai,44
Ikan Buntal Kuning,8,Ogos,65
Ikan Buntal Kuning,9,September,97
Ikan Buntal Kuning,10,Oktober,148
Ikan Buntal Kuning,11,November,125
Ikan Buntal Kuning,12,Disember,55
Ikan Campur,1,Januari,2398
Ikan Campur,2,Februari,3076
Ikan Campur,3,Mac,3358
Ikan Campur,4,April,3635
Ikan Campur,5,Mei,4229
Ikan Campur,6,Jun,4627
Ikan Campur,7,Julai,4898
Ikan Campur,8,Ogos,4815
Ikan Campur,9,September,5179
Ikan Campur,10,Oktober,4882
Ikan Campur,11,November,4375
Ikan Campur,12,Disember,2821
Ikan Jolong-Jolong,1,Januari,3.3
Ikan Jolong-Jolong,2,Februari,6.2
Ikan Jolong-Jolong,3,Mac,8.8
Ikan Jolong-Jolong,4,April,13.7
Ikan Jolong-Jolong,5,Mei,17
Ikan Jolong-Jolong,6,Jun,21.7
Ikan Jolong-Jolong,7,Julai,16
Ikan Jolong-Jolong,8,Ogos,29
Ikan Jolong-Jolong,9,September,47
Ikan Jolong-Jolong,10,Oktober,22.8
Ikan Jolong-Jolong,11,November,25
Ikan Jolong-Jolong,12,Disember,19
Ikan Kapak,1,Januari,4
Ikan Kapak,2,Februari,12.7
Ikan Kapak,3,Mac,4
Ikan Kapak,4,April,4
Ikan Kapak,5,Mei,2
Ikan Kapak,6,Jun,0
Ikan Kapak,7,Julai,4
Ikan Kapak,8,Ogos,1
Ikan Kapak,9,September,2
Ikan Kapak,10,Oktober,2
Ikan Kapak,11,November,3
Ikan Kapak,12,Disember,3.6
Ikan Kerong-Kerong,1,Januari,5.1
Ikan Kerong-Kerong,2,Februari,10
Ikan Kerong-Kerong,3,Mac,11
Ikan Kerong-Kerong,4,April,21
Ikan Kerong-Kerong,5,Mei,17
Ikan Kerong-Kerong,6,Jun,29
Ikan Kerong-Kerong,7,Julai,23
Ikan Kerong-Kerong,8,Ogos,23
Ikan Kerong-Kerong,9,September,15
Ikan Kerong-Kerong,10,Oktober,9
Ikan Kerong-Kerong,11,November,9
Ikan Kerong-Kerong,12,Disember,10
Ikan Susu / Banding,1,Januari,4.2
Ikan Susu / Banding,2,Februari,2.5
Ikan Susu / Banding,3,Mac,4
Ikan Susu / Banding,4,April,6
Ikan Susu / Banding,5,Mei,12
Ikan Susu / Banding,6,Jun,18
Ikan Susu / Banding,7,Julai,11
Ikan Susu / Banding,8,Ogos,25
Ikan Susu / Banding,9,September,36
Ikan Susu / Banding,10,Oktober,19
Ikan Susu / Banding,11,November,18
Ikan Susu / Banding,12,Disember,21
Ikan Tiram,1,Januari,2.6
Ikan Tiram,2,Februari,0.5
Ikan Tiram,3,Mac,2
Ikan Tiram,4,April,10.6
Ikan Tiram,5,Mei,10.7
Ikan Tiram,6,Jun,18
Ikan Tiram,7,Julai,22
Ikan Tiram,8,Ogos,37
Ikan Tiram,9,September,36
Ikan Tiram,10,Oktober,27
Ikan Tiram,11,November,38
Ikan Tiram,12,Disember,37
Impirang,1,Januari,69.4
Impirang,2,Februari,131.16
Impirang,3,Mac,204.4
Impirang,4,April,233.7
Impirang,5,Mei,234.7
Impirang,6,Jun,358.6
Impirang,7,Julai,269.7
Impirang,8,Ogos,261.6
Impirang,9,September,209
Impirang,10,Oktober,159
Impirang,11,November,159
Impirang,12,Disember,92
Jahan/Goh,1,Januari,136
Jahan/Goh,2,Februari,106
Jahan/Goh,3,Mac,148
Jahan/Goh,4,April,154
Jahan/Goh,5,Mei,172
Jahan/Goh,6,Jun,199
Jahan/Goh,7,Julai,248
Jahan/Goh,8,Ogos,234
Jahan/Goh,9,September,204
Jahan/Goh,10,Oktober,175
Jahan/Goh,11,November,150
Jahan/Goh,12,Disember,112
Jamah,1,Januari,57
Jamah,2,Februari,61
Jamah,3,Mac,98
Jamah,4,April,98
Jamah,5,Mei,109
Jamah,6,Jun,129
Jamah,7,Julai,142
Jamah,8,Ogos,168
Jamah,9,September,167
Jamah,10,Oktober,147
Jamah,11,November,109
Jamah,12,Disember,65
Jebong,1,Januari,52
Jebong,2,Februari,43
Jebong,3,Mac,45
Jebong,4,April,48
Jebong,5,Mei,52
Jebong,6,Jun,65
Jebong,7,Julai,63
Jebong,8,Ogos,67
Jebong,9,September,72
Jebong,10,Oktober,54
Jebong,11,November,54
Jebong,12,Disember,53
Jenahak Besar,1,Januari,262
Jenahak Besar,2,Februari,247
